num	group	subject	severity	repro	positive	negative	dir
CT-001	00-already-filed	-	Low	no	0	0	00-already-filed/CT-001-the-TeletexString-repertoire-test-is-narrowe
CT-002	01-dating	-	Medium	yes	1	1	01-dating/CT-002-cablint-applies-BR-2.0-s-CDP-scheme-rule-to
CT-003	01-dating	-	High	yes	1	0	01-dating/CT-003-cablint-has-no-Baseline-Requirements-floor
CT-004	01-dating	-	Low	yes	1	0	01-dating/CT-004-BR_2_0_0_EFFECTIVE-is-157-days-early
CT-005	01-dating	-	Medium	yes	2	0	01-dating/CT-005-the-TLD-data-is-a-snapshot-of-today-so-a-wit
CT-006	01-dating	-	Medium	no	0	0	01-dating/CT-006-the-39-month-BR-ceiling-is-dated-15-months-t
CT-007	01-dating	-	Medium	no	0	0	01-dating/CT-007-a-conforming-version-1-certificate-is-report
CT-008	02-unreachable	-	High	yes	1	1	02-unreachable/CT-008-UTCTime-without-seconds-cannot-fire-for-its
CT-009	02-unreachable	-	High	no	0	0	02-unreachable/CT-009-is-not-encoded-using-DER-can-never-fire-for
CT-010	02-unreachable	-	Low	no	0	0	02-unreachable/CT-010-Missing-check-for-OtherName-can-never-be-emi
CT-011	02-unreachable	-	Low	no	0	0	02-unreachable/CT-011-dnsname-s-own-is_a-String-guard-can-never-be
CT-012	02-unreachable	-	Low	no	0	0	02-unreachable/CT-012-is-using-deprecated-VideoexString-can-never
CT-013	02-unreachable	-	Low	no	0	0	02-unreachable/CT-013-is-using-deprecated-GraphicString-can-never
CT-014	02-unreachable	-	Low	no	0	0	02-unreachable/CT-014-is-using-deprecated-GeneralString-can-never
CT-015	02-unreachable	-	Low	no	0	0	02-unreachable/CT-015-Unknown-type-of-TLD-can-never-be-emitted
CT-016	02-unreachable	E: No PDU defined	Low	no	0	0	02-unreachable/CT-016-E-No-PDU-defined
CT-017	04-predicate	-	High	yes	1	0	04-predicate/CT-017-a-non-minimal-BIT-STRING-is-certified-as-DER
CT-018	04-predicate	-	Medium	yes	1	1	04-predicate/CT-018-an-unknown-TLD-costs-the-wildcard-check-on-t
CT-019	04-predicate	-	Medium	yes	1	1	04-predicate/CT-019-the-self-signed-CA-guard-reaches-two-AIA-bra
CT-020	04-predicate	-	Medium	yes	2	1	04-predicate/CT-020-the-Forum-s-reserved-policy-arc-selects-EV-a
CT-021	04-predicate	-	Low	yes	1	1	04-predicate/CT-021-an-IP-address-in-a-dNSName-is-reported-as-an
CT-022	04-predicate	-	Medium	yes	2	1	04-predicate/CT-022-certlint-requires-v3-of-every-certificate-wh
CT-023	04-predicate	-	Low	yes	1	0	04-predicate/CT-023-Generalized-Time-before-2050-has-no-lower-bo
CT-024	04-predicate	-	Low	yes	2	1	04-predicate/CT-024-Unallowed-key-usage-for-public-key-names-a-k
CT-025	04-predicate	-	Medium	yes	1	0	04-predicate/CT-025-RFC822Name-has-empty-value-condemns-the-excl
CT-026	04-predicate	-	Medium	no	0	0	04-predicate/CT-026-serial-number-entropy-is-split-by-signature
CT-027	04-predicate	-	High	no	0	0	04-predicate/CT-027-EV-identification-never-reads-the-disclosed
CT-028	04-predicate	-	Medium	no	0	0	04-predicate/CT-028-the-serverAuth-warning-fires-for-the-wrong-r
CT-029	04-predicate	-	Medium	no	0	0	04-predicate/CT-029-Duplicate-SAN-entry-compares-across-GeneralN
CT-030	04-predicate	-	Low	no	0	0	04-predicate/CT-030-a-control-character-in-an-IA5String-is-repor
CT-031	04-predicate	-	Low	no	0	0	04-predicate/CT-031-the-EC-key-error-message-describes-the-strin
CT-032	04-predicate	-	Medium	no	0	0	04-predicate/CT-032-the-example-domain-test-is-anchored-at-the-w
CT-033	04-predicate	-	Medium	no	0	0	04-predicate/CT-033-DSA-keyUsage-uses-one-allow-list-for-every-r
CT-034	04-predicate	-	Medium	no	0	0	04-predicate/CT-034-policy-qualifier-identity-is-over-severed-as
CT-035	07-robustness	-	High	no	0	0	07-robustness/CT-035-an-EC-point-at-infinity-segfaults-the-interp
CT-036	08-hygiene	-	Medium	no	0	0	08-hygiene/CT-036-commonNames-in-BR-certificate-contains-U-lab
CT-037	08-hygiene	-	Medium	no	0	0	08-hygiene/CT-037-EC-encipherOnly-and-decipherOnly-both-set-ci
CT-038	08-hygiene	-	Medium	no	0	0	08-hygiene/CT-038-SCT-list-criticality-cites-nothing
CT-039	09-absent	-	Medium	yes	1	1	09-absent/CT-039-BR-7.1.4.3-s-character-for-character-clause
