num	group	subject	severity	repro	positive	negative	dir
PT-001	01-dating	-	Medium	yes	4	0	01-dating/PT-001-RFC-6818-replaced-RFC-5280-s-explicitText-ru
PT-002	01-dating	cabf.internal_domain_name	Medium	yes	0	0	01-dating/PT-002-cabf.internal_domain_name
PT-003	01-dating	-	High	yes	1	0	01-dating/PT-003-a-withdrawn-requirement-and-its-replacement
PT-004	02-unreachable	CertificatePolicyOIDValidator	Medium	no	0	0	02-unreachable/PT-004-CertificatePolicyOIDValidator
PT-005	02-unreachable	-	Low	no	0	0	02-unreachable/PT-005-the-one-branch-that-distinguishes-that-class
PT-006	02-unreachable	NaturalPersonSubjectAttributeAllowanceValidator	Medium	no	0	0	02-unreachable/PT-006-NaturalPersonSubjectAttributeAllowanceValida
PT-007	02-unreachable	gen-5.1.1.qc_eu_pds_missing	Medium	no	0	0	02-unreachable/PT-007-gen-5.1.1.qc_eu_pds_missing
PT-008	02-unreachable	etsi.en_319_412_3.leg-4.3.1-3.invalid_content_commitment_setting	High	no	0	0	02-unreachable/PT-008-etsi.en_319_412_3.leg-4.3.1-3.invalid_conten
PT-009	02-unreachable	etsi.en_319_412_4.web-4.1.3-4.eku_missing	Medium	no	0	0	02-unreachable/PT-009-etsi.en_319_412_4.web-4.1.3-4.eku_missing
PT-010	02-unreachable	cabf.serverauth.ca_first_policy_oid_not_reserved	Medium	no	0	0	02-unreachable/PT-010-cabf.serverauth.ca_first_policy_oid_not_rese
PT-011	02-unreachable	pkix.crl_signature_algorithm_match	High	no	0	0	02-unreachable/PT-011-pkix.crl_signature_algorithm_match
PT-012	03-scope	-	High	yes	1	0	03-scope/PT-012-the-S-MIME-profile-detects-that-a-certificat
PT-013	04-predicate	-	High	yes	1	1	04-predicate/PT-013-a-self-issued-certificate-is-a-root-CA-whate
PT-014	04-predicate	pkix.invalid_uri_syntax	Low	no	0	0	04-predicate/PT-014-pkix.invalid_uri_syntax
PT-015	04-predicate	-	High	yes	1	0	04-predicate/PT-015-a-self-issued-certificate-is-typed-a-Root-CA
PT-016	04-predicate	-	Medium	yes	1	0	04-predicate/PT-016-the-commonName-from-SAN-check-compares-DNS-n
PT-017	04-predicate	cabf.smime.prohibited_signature_algorithm_encoding	Medium	no	0	0	04-predicate/PT-017-cabf.smime.prohibited_signature_algorithm_en
PT-018	04-predicate	-	Medium	no	0	0	04-predicate/PT-018-the-organizationIdentifier-state-province-fo
PT-019	04-predicate	gen-4.3.2.exponent_negative	Medium	no	0	0	04-predicate/PT-019-gen-4.3.2.exponent_negative
PT-020	04-predicate	gen-5.2.3-1.nca_name_non_latin	Medium	no	0	0	04-predicate/PT-020-gen-5.2.3-1.nca_name_non_latin
PT-021	04-predicate	Psd2CertificatePolicyOidPresenceValidator	Medium	no	0	0	04-predicate/PT-021-Psd2CertificatePolicyOidPresenceValidator
PT-022	04-predicate	gen-5.2.1-3.invalid_psd_organization_id_format	Medium	no	0	0	04-predicate/PT-022-gen-5.2.1-3.invalid_psd_organization_id_form
PT-023	04-predicate	etsi.en_319_412_4.web-4.1.4-2.common_name_unknown_source	Medium	no	0	0	04-predicate/PT-023-etsi.en_319_412_4.web-4.1.4-2.common_name_un
PT-024	04-predicate	cabf.serverauth.ca_first_policy_oid_not_reserved	Medium	no	0	0	04-predicate/PT-024-cabf.serverauth.ca_first_policy_oid_not_rese
PT-025	04-predicate	pkix.crl_unspecified_crl_entry_reason_code	High	no	0	0	04-predicate/PT-025-pkix.crl_unspecified_crl_entry_reason_code
PT-026	04-predicate	-	High	no	0	0	04-predicate/PT-026-a-CA-certificate-asserting-id-kp-timeStampin
PT-027	04-predicate	-	Low	no	0	0	04-predicate/PT-027-no-certificate-can-be-typed-as-a-cross-certi
PT-028	05-spec-reading	-	Medium	yes	1	0	05-spec-reading/PT-028-a-clause-that-says-may-is-reported-as-an-ERR
PT-029	05-spec-reading	KeyUsageValidator	Low	no	0	0	05-spec-reading/PT-029-KeyUsageValidator
PT-030	05-spec-reading	PolicyConstraintsPresenceValidator	Medium	no	0	0	05-spec-reading/PT-030-PolicyConstraintsPresenceValidator
PT-031	06-parser	-	High	yes	1	1	06-parser/PT-031-a-keyUsage-that-will-not-decode-silences-eve
PT-032	06-parser	-	High	yes	2	1	06-parser/PT-032-an-extension-that-will-not-decode-picks-the
PT-033	06-parser	-	High	yes	3	0	06-parser/PT-033-a-UniversalString-attribute-is-undecodable-a
PT-034	07-robustness	EcdsaKeyValidator	Medium	yes	2	0	07-robustness/PT-034-EcdsaKeyValidator
PT-035	08-hygiene	-	Medium	yes	0	0	08-hygiene/PT-035-the-severity-catalogues-have-drifted-from-th
PT-036	08-hygiene	-	Low	yes	0	0	08-hygiene/PT-036-every-EV-Guidelines-citation-uses-superseded
PT-037	08-hygiene	LegalPersonIssuerOrganizationAttributesEqualityValidator	Low	no	0	0	08-hygiene/PT-037-LegalPersonIssuerOrganizationAttributesEqual
PT-038	08-hygiene	-	Low	no	0	0	08-hygiene/PT-038-the-gen--label-prefix-does-not-exist-in-EN-3
PT-039	08-hygiene	-	Low	no	0	0	08-hygiene/PT-039-a-finding-code-is-missing-a-word
