num	group	subject	severity	repro	positive	negative	dir
XT-001	00-already-filed	ERR_SAN_TYPE	Medium	no	0	0	00-already-filed/XT-001-ERR_SAN_TYPE
XT-002	02-unreachable	-	High	yes	2	0	02-unreachable/XT-002-a-CA-certificate-that-omits-keyCertSign-is-c
XT-003	02-unreachable	ERR_GEN_NAME_TYPE	High	no	0	0	02-unreachable/XT-003-ERR_GEN_NAME_TYPE
XT-004	02-unreachable	ERR_INVALID_GENERAL_NAME_TYPE	High	no	0	0	02-unreachable/XT-004-ERR_INVALID_GENERAL_NAME_TYPE
XT-005	02-unreachable	CheckTime	Medium	no	0	0	02-unreachable/XT-005-CheckTime
XT-006	03-scope	-	Medium	yes	1	0	03-scope/XT-006-the-TLS-subscriber-profile-is-applied-to-del
XT-007	03-scope	ERR_NAME_NO_IV_POLICY	Medium	no	0	0	03-scope/XT-007-ERR_NAME_NO_IV_POLICY
XT-008	04-predicate	-	High	yes	2	0	04-predicate/XT-008-an-unrecognised-EKU-switches-off-four-SAN-na
XT-009	04-predicate	ERR_UNKNOWN_SIGNATURE_ALGORITHM	Low	yes	1	0	04-predicate/XT-009-ERR_UNKNOWN_SIGNATURE_ALGORITHM
XT-010	04-predicate	-	Medium	yes	1	0	04-predicate/XT-010-a-duplicated-extension-is-reported-as-an-abs
XT-011	04-predicate	-	High	yes	3	0	04-predicate/XT-011-the-RSASSA-PSS-salt-length-check-is-inverted
XT-012	04-predicate	ERR_POLICY_BR	Medium	no	0	0	04-predicate/XT-012-ERR_POLICY_BR
XT-013	04-predicate	CheckSigAlg	Low	no	0	0	04-predicate/XT-013-CheckSigAlg
XT-014	04-predicate	WARN_CRL_RELATIVE	Medium	no	0	0	04-predicate/XT-014-WARN_CRL_RELATIVE
XT-015	04-predicate	ERR_KEY_USAGE_UNKNOWN_BIT	Low	no	0	0	04-predicate/XT-015-ERR_KEY_USAGE_UNKNOWN_BIT
XT-016	04-predicate	ERR_KEY_USAGE_HAS_CERT_SIGN	Medium	no	0	0	04-predicate/XT-016-ERR_KEY_USAGE_HAS_CERT_SIGN
XT-017	04-predicate	ERR_CN_NOT_IN_SAN	High	no	0	0	04-predicate/XT-017-ERR_CN_NOT_IN_SAN
XT-018	04-predicate	CheckStringValid	Low	no	0	0	04-predicate/XT-018-CheckStringValid
XT-019	04-predicate	ERR_CA_CERT_NOT_CA	Medium	no	0	0	04-predicate/XT-019-ERR_CA_CERT_NOT_CA
XT-020	04-predicate	-	Medium	no	0	0	04-predicate/XT-020-the-demotion-is-EXFLAG_INVALID-not-an-uncach
XT-021	05-spec-reading	WARN_NO_EKU	Medium	no	0	0	05-spec-reading/XT-021-WARN_NO_EKU
