num	group	subject	severity	repro	positive	negative	dir
ZT-001	00-already-filed	-	Medium	yes	1	1	00-already-filed/ZT-001-six-subjectAltName-name-type-lints-hold-CA-c
ZT-002	00-already-filed	e_ext_cert_policy_explicit_text_too_long	Medium	yes	1	1	00-already-filed/ZT-002-e_ext_cert_policy_explicit_text_too_long
ZT-003	00-already-filed	e_subject_dn_not_printable_characters	Medium	yes	2	1	00-already-filed/ZT-003-e_subject_dn_not_printable_characters
ZT-004	00-already-filed	e_ev_organization_id_missing	High	yes	1	0	00-already-filed/ZT-004-e_ev_organization_id_missing
ZT-005	00-already-filed	e_key_usage_and_extended_key_usage_inconsistent	Medium	yes	3	1	00-already-filed/ZT-005-e_key_usage_and_extended_key_usage_inconsist
ZT-006	00-already-filed	e_ext_cert_policy_explicit_text_too_long	Medium	yes	1	0	00-already-filed/ZT-006-e_ext_cert_policy_explicit_text_too_long
ZT-007	00-already-filed	e_subject_dn_not_printable_characters	Medium	yes	2	0	00-already-filed/ZT-007-e_subject_dn_not_printable_characters
ZT-008	00-already-filed	e_qcstatem_mandatory_etsi_statems	Medium	yes	1	1	00-already-filed/ZT-008-e_qcstatem_mandatory_etsi_statems
ZT-009	00-already-filed	e_ext_duplicate_extension	Low	yes	1	0	00-already-filed/ZT-009-e_ext_duplicate_extension
ZT-010	01-dating	util.CABV201Date	Medium	yes	1	1	01-dating/ZT-010-util.CABV201Date
ZT-011	01-dating	-	High	yes	1	1	01-dating/ZT-011-e_excessively-backdated-is-switched-off-by-t
ZT-012	01-dating	e_mp_ecdsa_signature_encoding_correct	High	yes	1	1	01-dating/ZT-012-e_mp_ecdsa_signature_encoding_correct
ZT-013	01-dating	-	Low	yes	1	1	01-dating/ZT-013-two-superseded-validity-lints-never-stop-app
ZT-014	01-dating	-	Medium	yes	2	1	01-dating/ZT-014-two-root-keyUsage-lints-are-dated-13-years-b
ZT-015	01-dating	e_root_ca_key_usage_must_be_critical	Medium	yes	1	1	01-dating/ZT-015-e_root_ca_key_usage_must_be_critical
ZT-016	01-dating	e_dnsname_empty_label	Medium	yes	1	0	01-dating/ZT-016-e_dnsname_empty_label
ZT-017	01-dating	e_qcstatem_qctype_oneonly	Medium	yes	1	1	01-dating/ZT-017-e_qcstatem_qctype_oneonly
ZT-018	01-dating	e_qcstatem_pds_must_have_https_only	Medium	yes	1	0	01-dating/ZT-018-e_qcstatem_pds_must_have_https_only
ZT-019	01-dating	e_etsi_natural_person_key_usage_mandatory	Medium	yes	1	1	01-dating/ZT-019-e_etsi_natural_person_key_usage_mandatory
ZT-020	01-dating	e_cs_rsa_key_size	Medium	yes	1	1	01-dating/ZT-020-e_cs_rsa_key_size
ZT-021	01-dating	e_signature_algorithm_not_supported	Medium	yes	1	0	01-dating/ZT-021-e_signature_algorithm_not_supported
ZT-022	02-unreachable	e_subject_not_dn	High	yes	1	0	02-unreachable/ZT-022-e_subject_not_dn
ZT-023	02-unreachable	e_generalized_time_does_not_include_seconds	High	yes	2	1	02-unreachable/ZT-023-e_generalized_time_does_not_include_seconds
ZT-024	02-unreachable	e_rsa_exp_negative	High	yes	2	1	02-unreachable/ZT-024-e_rsa_exp_negative
ZT-025	02-unreachable	e_crl_unique_revoked_certificate	High	yes	1	0	02-unreachable/ZT-025-e_crl_unique_revoked_certificate
ZT-026	02-unreachable	e_qcstatem_qctype_valid	Medium	yes	1	1	02-unreachable/ZT-026-e_qcstatem_qctype_valid
ZT-027	03-scope	-	Medium	yes	1	1	03-scope/ZT-027-the-serverAuth-pre-flight-filter-suppresses
ZT-028	03-scope	-	Medium	yes	1	1	03-scope/ZT-028-IsDelegatedOCSPResponderCert-calls-any-OCSPS
ZT-029	03-scope	-	Medium	yes	3	0	03-scope/ZT-029-three-e_sub_cert_-lints-hold-CA-certificates
ZT-030	03-scope	e_sub_cert_or_sub_ca_using_sha1	Medium	yes	1	0	03-scope/ZT-030-e_sub_cert_or_sub_ca_using_sha1
ZT-031	03-scope	e_mailbox_validated_allowed_subjectdn_attributes	Medium	yes	1	1	03-scope/ZT-031-e_mailbox_validated_allowed_subjectdn_attrib
ZT-032	03-scope	e_algorithm_identifier_improper_encoding	Medium	yes	1	1	03-scope/ZT-032-e_algorithm_identifier_improper_encoding
ZT-033	03-scope	e_sub_cert_or_sub_ca_using_sha1	Medium	yes	1	0	03-scope/ZT-033-e_sub_cert_or_sub_ca_using_sha1
ZT-034	04-predicate	e_sub_cert_cert_policy_empty	High	yes	1	0	04-predicate/ZT-034-e_sub_cert_cert_policy_empty
ZT-035	04-predicate	e_distribution_point_incomplete	High	yes	1	0	04-predicate/ZT-035-e_distribution_point_incomplete
ZT-036	04-predicate	e_crlissuer_must_not_be_present_in_cdp	High	yes	1	0	04-predicate/ZT-036-e_crlissuer_must_not_be_present_in_cdp
ZT-037	04-predicate	util.IsOnionV2Address	High	yes	1	1	04-predicate/ZT-037-util.IsOnionV2Address
ZT-038	04-predicate	e_generalized_time_includes_fraction_seconds	Medium	yes	1	1	04-predicate/ZT-038-e_generalized_time_includes_fraction_seconds
ZT-039	04-predicate	e_missing_crl_distrib_point	Medium	yes	1	1	04-predicate/ZT-039-e_missing_crl_distrib_point
ZT-040	04-predicate	e_key_usage_incorrect_length	High	yes	2	1	04-predicate/ZT-040-e_key_usage_incorrect_length
ZT-041	04-predicate	e_rsa_fermat_factorization	High	yes	1	1	04-predicate/ZT-041-e_rsa_fermat_factorization
ZT-042	04-predicate	e_invalid_legacy_spki_algoid	Medium	yes	1	1	04-predicate/ZT-042-e_invalid_legacy_spki_algoid
ZT-043	04-predicate	e_utf8_latin1_mixup	Medium	yes	1	1	04-predicate/ZT-043-e_utf8_latin1_mixup
ZT-044	05-spec-reading	e_signature_algorithm_not_supported	Medium	yes	1	1	05-spec-reading/ZT-044-e_signature_algorithm_not_supported
ZT-045	05-spec-reading	-	Medium	yes	3	1	05-spec-reading/ZT-045-the-two-oldest-validity-lints-measure-the-Va
ZT-046	05-spec-reading	e_subject_postal_code_max_length	Medium	yes	1	0	05-spec-reading/ZT-046-e_subject_postal_code_max_length
ZT-047	05-spec-reading	e_subject_contains_noninformational_value	Medium	yes	1	2	05-spec-reading/ZT-047-e_subject_contains_noninformational_value
ZT-048	06-parser	-	Medium	yes	1	1	06-parser/ZT-048-an-out-of-range-iPAddress-SAN-becomes-silenc
ZT-049	06-parser	e_crl_auth_key_id_only_contains_keyid	High	yes	1	1	06-parser/ZT-049-e_crl_auth_key_id_only_contains_keyid
ZT-050	06-parser	-	High	yes	1	1	06-parser/ZT-050-a-root-CA-whose-signature-zcrypto-cannot-ver
ZT-051	06-parser	e_ext_cert_policy_disallowed_any_policy_qualifier	Low	yes	2	2	06-parser/ZT-051-e_ext_cert_policy_disallowed_any_policy_qual
ZT-052	06-parser	-	High	yes	1	1	06-parser/ZT-052-a-keyUsage-that-did-not-decode-is-indistingu
ZT-053	06-parser	-	High	yes	1	1	06-parser/ZT-053-a-root-whose-signature-algorithm-the-parser
ZT-054	06-parser	-	Medium	yes	1	1	06-parser/ZT-054-zcrypto-s-DSA-verification-omits-the-FIPS-18
ZT-055	07-robustness	-	High	yes	1	0	07-robustness/ZT-055-a-parse-failure-ends-the-run-and-discards-th
ZT-056	07-robustness	e_org_validated_invalid_cn	Medium	yes	1	1	07-robustness/ZT-056-e_org_validated_invalid_cn
ZT-057	07-robustness	-	Low	yes	0	0	07-robustness/ZT-057-GetKeyUsageStrings-ranges-over-a-map-so-two
ZT-058	07-robustness	e_org_validated_invalid_cn	Medium	yes	1	1	07-robustness/ZT-058-e_org_validated_invalid_cn
